Provincia,Municipio,Localidad,Nombre,Ubicación
MADRID,Alcorcón,ALCORCÓN,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD RAMÓN Y CAJAL
MADRID,Arganda del Rey,ARGANDA DEL REY,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD ARGANDA DEL REY
MADRID,Boadilla del Monte,BOADILLA DEL MONTE,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD CONDES DE BARCELONA
MADRID,Buitrago del Lozoya,BUITRAGO DEL LOZOYA,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD BUITRAGO DE LOZOYA
MADRID,Cadalso de los Vidrios,CADALSO DE LOS VIDRIOS,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD CADALSO DE LOS VIDRIOS
MADRID,Cercedilla,CERCEDILLA,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD CERCEDILLA
MADRID,Colmenar de Oreja,COLMENAR DE OREJA,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD COLMENAR DE OREJA
MADRID,Collado Villalba,COLLADO VILLALBA,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD COLLADO VILLALBA ESTACIÓN
MADRID,Chinchón,CHINCHÓN,SERVICIO DE ATENCIÓN RURAL (SAR),CONSULTORIO LOCAL CHINCHÓN
MADRID,Galapagar,GALAPAGAR,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD GALAPAGAR
MADRID,Getafe,GETAFE,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO ESPECIALIDADES GETAFE - LOS ÁNGELES
MADRID,Getafe,GETAFE,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD JUAN DE LA CIERVA
MADRID,Griñón,GRIÑÓN,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD GRIÑÓN
ALMERÍA,Níjar,NÍJAR,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD NÍJAR
ALMERÍA,Olula del Río,OLULA DEL RÍO,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD OLULA DEL RÍO
ALMERÍA,Oria,ORIA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CONSULTORIO LOCAL ORIA
ALMERÍA,Pulpí,PULPÍ,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CONSULTORIO LOCAL PULPÍ
ALMERÍA,Roquetas de Mar,ROQUETAS DE MAR,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD ROQUETAS
ALMERÍA,Roquetas de Mar,AGUADULCE,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CONSULTORIO LOCAL AGUADULCE
ALMERÍA,Serón,SERÓN,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD SERÓN
ALMERÍA,Sorbas,SORBAS,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD SORBAS
ALMERÍA,Tabernas,TABERNAS,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD TABERNAS
ALMERÍA,Tíjola,TÍJOLA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CONSULTORIO LOCAL TÍJOLA
ALMERÍA,Vélez-Blanco,TOPARES,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CONSULTORIO LOCAL TOPARES
ALMERÍA,Vélez-Blanco,VÉLEZ-BLANCO,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CONSULTORIO LOCAL VÉLEZ BLANCO
