Health Area;General frequency in 2009;General frequency 2006;Emergency frequency 2012;Emergency frequency 2016
Almería;7,11;5,59;0,76;0,77
A.G.S. Norte de Almería;7,59;6,41;1,61;1,89
Poniente de Almería;5,79;5,31;1,04;1,08
Bahía de Cádiz-La Janda;7,60;6,08;0,54;0,64
A.G.S. Campo de Gibraltar;7,46;5,86;0,69;0,80
Jerez-Costa Noroeste;7,91;;0,54;
Sierra de Cádiz;8,48;;1,17;
A.G.S. Norte de Cádiz;;6,34;;0,73
Córdoba;6,90;5,93;0,26;0,27
A.G.S. Norte de Córdoba;7,93;7,18;0,82;0,91
A.G.S. Sur de Córdoba;7,98;6,49;0,86;0,93
Guadalquivir;7,93;7,11;1,16;1,48
Granada;5,62;5,03;0,19;0,36
A.G.S. Nordeste de Granada;9,90;7,53;0,57;0,88
A.G.S. Sur de Granada;8,01;6,25;1,10;1,25
Metropolitano de Granada;8,79;6,27;0,75;0,80
Condado-Campiña;8,12;5,76;1,36;1,52
Huelva-Costa;6,78;5,67;0,91;1,05
A.G.S. Norte de Huelva;7,54;7,09;1,29;1,56
Jaén;7,93;6,33;0,67;0,70
Jaen Nordeste;8,84;;1,38;
Jaén Norte;7,42;;0,98;
Jaén Sur;7,96;6,95;0,98;0,83
A.G.S. Norte de Jaén;;6,76;;1,26
A.G.S. Este de Málaga - Axarquia;5,99;5,50;1,10;1,34
Costa del Sol;5,41;4,43;0,71;0,75
A.G.S. Norte de Málaga;7,48;6,16;0,65;0,77
Málaga;4,30;5,14;0,14;0,16
A.G.S. Serranía de Málaga;6,70;6,23;0,77;0,89
Valle del Guadalhorce;5,90;4,66;1,33;1,27
Aljarafe;7,04;5,93;0,71;0,69
Sevilla;6,47;5,44;0,24;0,28
A.G.S. de Osuna;7,25;6,87;0,66;0,75
Sevilla Norte;10,94;6,48;1,57;1,85
A.G.S. Sur de Sevilla;7,55;6,03;0,67;0,72
