Año;Provincia;Ratio de Auxiliar administrativo;Ratio de Enfermería;Ratio de Pediatría;Ratio de Medicina de familia
2009;ALMERÍA;3103;1896;1180;1448
2009;CÁDIZ;3038;1872;1075;1509
2009;CÓRDOBA;2616;1686;1069;1414
2009;GRANADA;2652;1753;1087;1348
2009;HUELVA;2681;1741;1111;1403
2009;JAÉN;2435;1600;928;1334
2009;MÁLAGA;2656;2047;1257;1542
2009;SEVILLA;2594;1834;1068;1485
2010;ALMERÍA;3019;1788;1112;1427
2010;CÁDIZ;3007;1821;1057;1496
2010;CÓRDOBA;2541;1597;1073;1404
2010;GRANADA;2619;1673;1061;1324
2010;HUELVA;2695;1705;1113;1394
2010;JAÉN;2346;1542;932;1308
2010;MÁLAGA;2631;1991;1226;1518
2010;SEVILLA;2611;1771;1065;1472
2011;ALMERÍA;3113;1813;1122;1449
2011;CÁDIZ;3349;1697;1057;1545
2011;CÓRDOBA;2787;1601;1070;1445
2011;GRANADA;2545;1624;1066;1382
2011;HUELVA;2601;1625;1122;1438
2011;JAÉN;2412;1501;930;1339
2011;MÁLAGA;2556;1901;1240;1570
2011;SEVILLA;2743;1719;1072;1513
2012;ALMERÍA;2759;1778;1121;1419
2012;CÁDIZ;3079;1659;1053;1505
2012;CÓRDOBA;2730;1557;1061;1401
2012;GRANADA;2495;1571;1067;1329
2012;HUELVA;2608;1597;1127;1409
2012;JAÉN;2402;1468;920;1308
2012;MÁLAGA;2548;1858;1254;1524
2012;SEVILLA;2737;1691;1081;1483
2013;ALMERÍA;3059;1652;1129;1450
2013;CÁDIZ;3162;1745;1050;1528
2013;CÓRDOBA;2742;1508;1059;1418
2013;GRANADA;2835;1526;1059;1356
2013;HUELVA;2900;1513;1119;1434
2013;JAÉN;2543;1306;898;1319
2013;MÁLAGA;2838;1790;1243;1557
2013;SEVILLA;2821;1761;1083;1497
2014;ALMERÍA;3057;1648;1128;1441
2014;CÁDIZ;3173;1738;1056;1522
2014;CÓRDOBA;2709;1495;1047;1395
2014;GRANADA;2794;1511;1058;1336
2014;HUELVA;2877;1514;1138;1425
2014;JAÉN;2529;1302;898;1306
2014;MÁLAGA;2810;1778;1241;1539
2014;SEVILLA;2801;1763;1070;1485
2015;ALMERÍA;2756;1813;1106;1423
2015;CÁDIZ;3270;1715;1029;1519
2015;CÓRDOBA;2920;1552;1031;1387
2015;GRANADA;3063;1618;1040;1334
2015;HUELVA;2567;1636;1107;1420
2015;JAÉN;2753;1451;875;1280
2015;MÁLAGA;3017;1880;1237;1559
2015;SEVILLA;2814;1750;1057;1490
2016;ALMERÍA;2779;1754;1099;1436
2016;CÁDIZ;3258;1833;1017;1536
2016;CÓRDOBA;2896;1603;1007;1379
2016;GRANADA;3027;1582;1025;1323
2016;HUELVA;2550;1630;1100;1405
2016;JAÉN;2730;1449;869;1286
2016;MÁLAGA;3028;1951;1221;1574
2016;SEVILLA;2810;1759;1056;1501
